	6AMay	3CJuly	6DMay	8CMay	8CJuly	6CMay	6AJuly	6DJuly	3AJuly	8BJuly	8BMay	3CMay	3BJuly	8AJuly	8AMay	3AMay	6CJuly	3BMay	0CJuly	0CMay	0AJuly	1DJuly	0BMay	1GMay	0BJuly	0AMay	1FJuly	1FMay	1DMay	1GJuly	taxonomy
denovo52	68.0	1.0	32.0	23.0	66.0	70.0	17.0	1.0	1.0	15.0	32.0	0.0	0.0	14.0	60.0	1.0	10.0	5.0	76.0	72.0	84.0	3.0	25.0	2.0	27.0	60.0	3.0	2.0	3.0	5.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo128	67.0	15.0	57.0	21.0	30.0	44.0	32.0	14.0	19.0	15.0	64.0	23.0	21.0	44.0	53.0	10.0	24.0	34.0	27.0	36.0	12.0	12.0	19.0	10.0	1.0	12.0	3.0	7.0	19.0	5.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__"
denovo44	4.0	1.0	6.0	4.0	0.0	11.0	2.0	0.0	1.0	2.0	22.0	7.0	1.0	4.0	44.0	1.0	0.0	9.0	8.0	30.0	9.0	16.0	28.0	191.0	5.0	34.0	23.0	157.0	108.0	10.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Gillisia; s__"
denovo132	32.0	91.0	13.0	51.0	37.0	15.0	79.0	14.0	52.0	19.0	54.0	33.0	14.0	21.0	11.0	85.0	15.0	84.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__"
denovo56	15.0	70.0	20.0	30.0	32.0	33.0	30.0	19.0	43.0	13.0	24.0	93.0	52.0	12.0	16.0	66.0	12.0	129.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__"
denovo9	117.0	14.0	65.0	15.0	16.0	99.0	22.0	18.0	5.0	26.0	86.0	22.0	30.0	24.0	33.0	12.0	31.0	32.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__"
denovo26	50.0	16.0	70.0	57.0	48.0	63.0	11.0	23.0	3.0	17.0	51.0	23.0	7.0	34.0	51.0	8.0	30.0	27.0	3.0	4.0	3.0	8.0	2.0	10.0	1.0	3.0	8.0	8.0	14.0	25.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__DRC31; f__; g__; s__"
denovo30	28.0	13.0	27.0	58.0	80.0	49.0	48.0	29.0	4.0	44.0	81.0	8.0	4.0	25.0	46.0	20.0	14.0	15.0	8.0	8.0	16.0	1.0	1.0	5.0	5.0	7.0	1.0	3.0	4.0	0.0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
denovo515	36.0	27.0	18.0	51.0	46.0	46.0	57.0	31.0	27.0	6.0	10.0	111.0	22.0	3.0	5.0	23.0	12.0	71.0	2.0	4.0	2.0	3.0	3.0	1.0	1.0	0.0	0.0	2.0	11.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__"
denovo7	44.0	3.0	71.0	64.0	73.0	89.0	13.0	10.0	3.0	42.0	66.0	7.0	0.0	47.0	65.0	1.0	15.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__DRC31; f__; g__; s__"
denovo25	17.0	12.0	9.0	15.0	7.0	15.0	19.0	3.0	16.0	2.0	10.0	36.0	28.0	17.0	28.0	36.0	6.0	54.0	65.0	57.0	30.0	9.0	14.0	9.0	20.0	27.0	10.0	7.0	23.0	10.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__[Marinicellales]; f__[Marinicellaceae]; g__; s__"
denovo72	2.0	0.0	3.0	5.0	16.0	5.0	6.0	2.0	1.0	5.0	11.0	1.0	0.0	16.0	19.0	0.0	3.0	2.0	5.0	2.0	5.0	23.0	0.0	88.0	2.0	1.0	39.0	56.0	79.0	204.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__"
denovo13	1.0	0.0	49.0	3.0	19.0	11.0	10.0	0.0	0.0	1.0	6.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	11.0	7.0	21.0	49.0	2.0	98.0	3.0	3.0	47.0	80.0	87.0	59.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
denovo34	20.0	0.0	128.0	3.0	18.0	26.0	21.0	3.0	0.0	8.0	34.0	0.0	0.0	4.0	27.0	0.0	8.0	0.0	2.0	5.0	3.0	18.0	6.0	59.0	0.0	13.0	12.0	39.0	15.0	61.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
denovo87	11.0	35.0	11.0	21.0	33.0	8.0	22.0	8.0	29.0	8.0	10.0	80.0	19.0	8.0	16.0	20.0	9.0	60.0	10.0	20.0	4.0	1.0	3.0	6.0	1.0	5.0	4.0	1.0	58.0	6.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__"
denovo48	7.0	0.0	7.0	12.0	15.0	3.0	10.0	3.0	0.0	3.0	20.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	26.0	34.0	19.0	14.0	3.0	84.0	7.0	31.0	41.0	27.0	68.0	84.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__"
denovo64	22.0	2.0	19.0	3.0	4.0	21.0	13.0	4.0	0.0	3.0	17.0	14.0	2.0	7.0	35.0	4.0	0.0	18.0	8.0	34.0	14.0	5.0	4.0	50.0	4.0	18.0	16.0	80.0	40.0	60.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo22	20.0	2.0	37.0	3.0	15.0	31.0	13.0	4.0	1.0	9.0	20.0	3.0	2.0	8.0	39.0	0.0	7.0	2.0	27.0	14.0	18.0	8.0	17.0	45.0	12.0	8.0	27.0	76.0	27.0	18.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus"
denovo39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	124.0	43.0	1.0	129.0	0.0	23.0	135.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__"
denovo70	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	37.0	16.0	80.0	18.0	8.0	69.0	20.0	22.0	41.0	40.0	45.0	69.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"
denovo113	0.0	0.0	4.0	1.0	1.0	6.0	0.0	6.0	0.0	2.0	6.0	0.0	0.0	4.0	8.0	0.0	3.0	0.0	77.0	58.0	95.0	8.0	30.0	7.0	47.0	39.0	4.0	10.0	7.0	40.0	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
denovo38	37.0	24.0	22.0	60.0	22.0	23.0	8.0	16.0	21.0	2.0	4.0	63.0	22.0	5.0	10.0	29.0	2.0	45.0	2.0	5.0	4.0	1.0	3.0	1.0	3.0	0.0	4.0	0.0	21.0	3.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae"
denovo36	5.0	1.0	10.0	7.0	4.0	9.0	4.0	2.0	2.0	0.0	16.0	3.0	6.0	12.0	26.0	2.0	1.0	7.0	43.0	14.0	13.0	13.0	16.0	49.0	25.0	25.0	32.0	34.0	38.0	30.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae"
denovo129	21.0	13.0	7.0	21.0	5.0	36.0	16.0	11.0	16.0	3.0	9.0	38.0	16.0	2.0	0.0	17.0	3.0	30.0	39.0	24.0	26.0	3.0	18.0	3.0	25.0	15.0	1.0	1.0	26.0	4.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__; s__"
denovo92	30.0	17.0	23.0	32.0	53.0	34.0	16.0	19.0	4.0	13.0	44.0	6.0	23.0	23.0	43.0	14.0	12.0	17.0	3.0	2.0	2.0	5.0	1.0	2.0	0.0	0.0	1.0	3.0	2.0	3.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SJA-101; g__; s__"
denovo76	11.0	53.0	2.0	33.0	20.0	5.0	18.0	4.0	22.0	9.0	19.0	41.0	33.0	5.0	13.0	86.0	8.0	61.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
denovo10	31.0	2.0	50.0	31.0	33.0	41.0	14.0	8.0	1.0	12.0	19.0	7.0	2.0	26.0	57.0	4.0	9.0	17.0	5.0	0.0	1.0	3.0	0.0	9.0	2.0	0.0	2.0	10.0	10.0	36.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
denovo32	0.0	0.0	8.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	129.0	41.0	67.0	4.0	43.0	10.0	59.0	33.0	10.0	7.0	10.0	8.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__"
denovo24	22.0	22.0	23.0	27.0	31.0	30.0	20.0	17.0	15.0	6.0	23.0	39.0	10.0	32.0	37.0	14.0	10.0	32.0	0.0	1.0	2.0	3.0	0.0	3.0	1.0	0.0	1.0	2.0	1.0	1.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
denovo6	43.0	0.0	66.0	51.0	48.0	42.0	14.0	8.0	3.0	16.0	46.0	0.0	3.0	14.0	22.0	4.0	18.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
denovo18	1.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	7.0	1.0	1.0	12.0	14.0	2.0	1.0	0.0	52.0	31.0	41.0	4.0	40.0	60.0	12.0	27.0	32.0	29.0	14.0	12.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__"
denovo209	56.0	3.0	28.0	39.0	47.0	49.0	13.0	9.0	4.0	9.0	20.0	33.0	1.0	5.0	18.0	3.0	16.0	18.0	4.0	3.0	5.0	1.0	2.0	1.0	0.0	0.0	4.0	4.0	2.0	5.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__DRC31; f__; g__; s__"
denovo49	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	98.0	124.0	53.0	0.0	43.0	0.0	25.0	37.0	0.0	0.0	1.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__; s__"
denovo168	23.0	0.0	21.0	17.0	24.0	23.0	14.0	6.0	0.0	21.0	39.0	0.0	0.0	7.0	38.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	25.0	0.0	0.0	9.0	53.0	8.0	50.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo51	14.0	39.0	9.0	39.0	19.0	25.0	21.0	6.0	12.0	7.0	21.0	14.0	19.0	12.0	7.0	25.0	10.0	46.0	2.0	5.0	2.0	7.0	0.0	3.0	1.0	0.0	1.0	2.0	7.0	5.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__"
denovo60	23.0	23.0	9.0	38.0	30.0	25.0	24.0	6.0	14.0	15.0	23.0	17.0	11.0	18.0	20.0	21.0	8.0	35.0	3.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	5.0	2.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__"
denovo91	7.0	3.0	3.0	50.0	12.0	12.0	11.0	10.0	4.0	4.0	13.0	7.0	5.0	0.0	10.0	4.0	10.0	20.0	30.0	17.0	33.0	3.0	10.0	4.0	49.0	21.0	0.0	1.0	22.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__; s__"
denovo307	17.0	34.0	3.0	28.0	26.0	19.0	32.0	4.0	5.0	7.0	15.0	21.0	13.0	14.0	5.0	25.0	7.0	47.0	5.0	7.0	2.0	2.0	1.0	1.0	4.0	5.0	2.0	0.0	10.0	1.0	"k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__"
denovo20	5.0	65.0	0.0	14.0	14.0	6.0	40.0	5.0	31.0	7.0	11.0	13.0	16.0	9.0	5.0	49.0	7.0	56.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
denovo45	6.0	5.0	7.0	10.0	7.0	6.0	6.0	3.0	3.0	2.0	7.0	5.0	5.0	6.0	22.0	4.0	0.0	14.0	14.0	21.0	15.0	7.0	7.0	36.0	9.0	18.0	15.0	27.0	34.0	40.0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__"
denovo41	34.0	8.0	10.0	28.0	15.0	28.0	22.0	12.0	3.0	10.0	26.0	12.0	6.0	29.0	61.0	8.0	4.0	22.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTCC2188; f__HTCC2089; g__; s__"
denovo317	5.0	0.0	8.0	3.0	1.0	8.0	3.0	2.0	0.0	1.0	6.0	0.0	0.0	2.0	9.0	0.0	1.0	0.0	50.0	38.0	100.0	5.0	8.0	6.0	42.0	23.0	1.0	3.0	1.0	15.0	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__"
denovo47	9.0	9.0	5.0	4.0	1.0	12.0	2.0	3.0	8.0	1.0	5.0	13.0	23.0	3.0	3.0	7.0	3.0	22.0	10.0	13.0	8.0	7.0	8.0	33.0	11.0	6.0	5.0	23.0	25.0	53.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__"
denovo247	33.0	3.0	23.0	12.0	10.0	22.0	4.0	1.0	2.0	2.0	14.0	22.0	2.0	2.0	27.0	9.0	6.0	25.0	0.0	0.0	1.0	3.0	0.0	29.0	0.0	1.0	13.0	18.0	37.0	11.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo57	25.0	4.0	30.0	17.0	11.0	25.0	16.0	16.0	5.0	5.0	15.0	18.0	12.0	11.0	24.0	10.0	8.0	29.0	5.0	13.0	1.0	3.0	1.0	1.0	2.0	7.0	1.0	3.0	5.0	5.0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13; g__; s__"
denovo355	31.0	4.0	23.0	35.0	40.0	27.0	7.0	11.0	0.0	18.0	34.0	5.0	4.0	16.0	29.0	6.0	15.0	10.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SJA-101; g__; s__"
denovo100	5.0	2.0	5.0	25.0	22.0	13.0	10.0	1.0	9.0	8.0	15.0	11.0	17.0	21.0	15.0	14.0	9.0	27.0	8.0	15.0	9.0	4.0	1.0	11.0	6.0	5.0	4.0	4.0	17.0	3.0	"k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__; s__"
denovo28	11.0	6.0	2.0	26.0	37.0	3.0	14.0	6.0	0.0	29.0	87.0	4.0	8.0	29.0	29.0	2.0	10.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__"
denovo96	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	3.0	2.0	0.0	0.0	34.0	90.0	59.0	6.0	32.0	3.0	28.0	17.0	4.0	13.0	9.0	2.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
denovo11	2.0	37.0	2.0	29.0	12.0	0.0	12.0	4.0	15.0	4.0	15.0	33.0	10.0	14.0	28.0	33.0	1.0	39.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
denovo61	1.0	4.0	3.0	4.0	9.0	5.0	1.0	0.0	4.0	1.0	9.0	14.0	3.0	10.0	12.0	10.0	1.0	19.0	1.0	1.0	0.0	6.0	0.0	51.0	0.0	0.0	14.0	27.0	38.0	54.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__; s__"
denovo99	10.0	18.0	15.0	16.0	26.0	26.0	15.0	5.0	18.0	16.0	15.0	23.0	19.0	14.0	6.0	22.0	5.0	10.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	7.0	2.0	4.0	3.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
denovo16	33.0	0.0	21.0	67.0	28.0	29.0	14.0	9.0	1.0	3.0	18.0	10.0	3.0	8.0	9.0	3.0	6.0	4.0	6.0	6.0	1.0	2.0	0.0	3.0	1.0	2.0	0.0	3.0	9.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__; s__"
denovo322	3.0	0.0	4.0	5.0	5.0	4.0	0.0	1.0	2.0	0.0	8.0	1.0	0.0	4.0	7.0	0.0	2.0	1.0	12.0	7.0	19.0	14.0	5.0	53.0	21.0	2.0	16.0	24.0	31.0	46.0	"k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__"
denovo172	5.0	24.0	0.0	1.0	2.0	3.0	6.0	1.0	12.0	3.0	2.0	52.0	14.0	12.0	9.0	28.0	0.0	36.0	9.0	41.0	8.0	2.0	6.0	3.0	4.0	8.0	0.0	1.0	4.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__"
denovo62	20.0	2.0	47.0	6.0	22.0	18.0	6.0	1.0	0.0	5.0	13.0	2.0	0.0	16.0	6.0	1.0	1.0	0.0	8.0	1.0	5.0	13.0	0.0	24.0	0.0	11.0	22.0	22.0	4.0	13.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
denovo53	19.0	2.0	32.0	25.0	26.0	23.0	9.0	13.0	0.0	9.0	32.0	2.0	1.0	14.0	37.0	4.0	11.0	7.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	5.0	1.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__"
denovo59	8.0	8.0	11.0	23.0	23.0	11.0	3.0	4.0	1.0	7.0	23.0	1.0	3.0	7.0	27.0	4.0	1.0	3.0	14.0	9.0	15.0	6.0	9.0	3.0	11.0	11.0	1.0	4.0	13.0	9.0	"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__"
denovo82	2.0	5.0	0.0	2.0	5.0	3.0	3.0	0.0	0.0	7.0	29.0	4.0	3.0	5.0	19.0	6.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; s__"
denovo166	12.0	45.0	4.0	7.0	4.0	6.0	6.0	1.0	14.0	7.0	13.0	37.0	10.0	8.0	1.0	25.0	12.0	45.0	7.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__"
